	A	B	C	Y
0	132.48690727326482	196.32578280523057	10.34218055109205	1885.5736315311829
1	87.76487172699849	206.84509456364395	19.197869404719654	1867.009561271934
2	89.43656495473088	189.43084609334167	15.838902292502343	1772.3209898040175
3	78.54062755687659	175.08339671884983	18.969442213768126	1597.9125355609306
4	117.30815258649358	192.16730552563502	25.131274614869472	1883.1585556614973
5	53.96922606239435	205.0806268345106	24.84981885957964	1870.9295163611644
6	134.8962352843296	220.2086929529087	18.865951455068235	2103.6055364577546
7	84.77586198209795	190.18395184060952	19.44798757102897	1728.5696594561932
8	106.38078192114197	190.84102559313956	16.99633785253583	1772.799253190013
9	95.0125924904518	215.74595995054716	25.67072938153744	1960.0658808727574
10	129.24215874089947	182.47439228453152	14.46375749417306	1748.0207494426456
11	58.79718581004692	193.167431844451	24.43127532415914	1691.9723575982591
12	93.55165591972985	184.01278898269612	19.822132407969292	1710.814120368838
13	92.31891290663168	175.98895826568798	21.577562555497757	1630.4895245244318
14	122.67538884670876	230.88954520131176	15.61322615568452	2131.6114838286385
15	78.00217465371938	180.2083356898732	25.518325832950154	1620.8074944294315
16	96.55143584899129	198.61586765272108	16.343798761166493	1815.9078519782136
17	82.44283164157257	206.34542082496637	25.180781769501948	1814.5729333715287
18	100.84427493431185	181.1565647194792	22.589443643030624	1707.8686409521156
19	111.65630427431644	218.33922855159014	25.42247379951087	1992.7893056306416
20	77.98761645574157	214.04498131132365	19.511363811663553	1896.5459039188881
21	122.89447419679229	223.83937577242227	17.54360514825972	2065.14872442687
22	118.03181441185592	214.10938142674226	22.107745340072427	2041.059635349438
23	110.04988677803736	226.82376584407672	36.68012625662824	2112.7814054268824
24	118.01711898528823	245.5974653151925	24.553481589771195	2225.7040512479784
25	86.32544281651334	146.2762464282692	19.880267657716637	1403.553786028089
26	97.54219548962703	232.6427736288851	18.821592658444494	2113.733260378155
27	81.28461131481862	245.50538952214904	28.1070133800307	2181.0494721603154
28	94.64223840747968	204.49658086896875	16.758297574339807	1886.6664272539856
29	110.60710933476372	231.83797049574537	25.321273012221546	2163.46077095538
30	86.16678496549382	188.47048705118675	27.520093264246796	1743.1850601070382
31	92.06492946288046	233.33568879462916	14.5699061549521	2115.564155843683
32	86.25654599760801	175.0504796737203	23.04515369497105	1649.2649408766779
